,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,train,YearsOld,YearSinceRemodel,YearSinceGarageBlt,YrSold-Month,BsmtBath,Bath,Basement,BsmtScore,TotalSF,SF_score,OverallQual_exp,YearsOld_log,YearSinceGarageBlt_log,YearSinceRemodel_log
0,1,60,RL,65.0,8450,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4,3,1,6,706.0,1,0.0,150.0,856.0,GasA,5,1,SBrkr,856,854,0,1710,3,1,4,8,7,0,0,Attchd,2,2.0,548.0,3,3,2,0,61,0,0,0,0,0,No_fence,No_miscFeature,0,2,2008,WD,Normal,1,5,5,5,2008-2,1.0,2.5,1,112.26801586640934,2566.0,2352.0,32.11545195869231,2.1654221804855953,2.1654221804855953,2.1654221804855953
1,2,20,RL,80.0,9600,Pave,No_alley,0,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,4,5,978.0,1,0.0,284.0,1262.0,GasA,5,1,SBrkr,1262,0,0,1262,3,1,3,6,7,1,3,Attchd,2,2.0,460.0,3,3,2,298,0,0,0,0,0,0,No_fence,No_miscFeature,0,5,2007,WD,Normal,1,31,31,31,2007-5,0.5,2.0,1,122.11415985762568,2524.0,2208.5,19.085536923187668,3.547266402060136,3.547266402060136,3.547266402060136
2,3,60,RL,68.0,11250,Pave,No_alley,1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4,3,2,6,486.0,1,0.0,434.0,920.0,GasA,5,1,SBrkr,920,866,0,1786,3,1,4,6,7,1,3,Attchd,2,2.0,608.0,3,3,2,0,42,0,0,0,0,0,No_fence,No_miscFeature,0,9,2008,WD,Normal,1,7,6,7,2008-9,1.0,2.5,1,106.75909774099333,2706.0,2476.0,32.11545195869231,2.3719508656009087,2.3719508656009087,2.2740088362278477
3,4,70,RL,60.0,9550,Pave,No_alley,1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3,4,1,5,216.0,1,0.0,540.0,756.0,GasA,4,1,SBrkr,961,756,0,1717,3,1,4,7,7,1,4,Detchd,1,3.0,642.0,3,3,2,0,35,272,0,0,0,0,No_fence,No_miscFeature,0,2,2006,WD,Abnorml,1,91,36,8,2006-2,1.0,1.0,1,83.81409256131631,2473.0,2284.0,32.11545195869231,4.5509070314912226,2.4611501717344746,3.6818115811532164
4,5,60,RL,84.0,14260,Pave,No_alley,1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4,3,3,6,655.0,1,0.0,490.0,1145.0,GasA,5,1,SBrkr,1145,1053,0,2198,4,1,4,9,7,1,3,Attchd,2,3.0,836.0,3,3,2,192,84,0,0,0,0,0,No_fence,No_miscFeature,0,12,2008,WD,Normal,1,8,8,8,2008-12,1.0,2.5,1,115.24222379755287,3343.0,3056.75,53.598150033144236,2.4611501717344746,2.4611501717344746,2.4611501717344746
5,6,50,RL,85.0,14115,Pave,No_alley,1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4,3,1,6,732.0,1,0.0,64.0,796.0,GasA,5,1,SBrkr,796,566,0,1362,1,1,3,5,7,0,0,Attchd,1,2.0,480.0,3,3,2,40,30,0,320,0,0,0,MnPrv,Shed,700,10,2009,WD,Normal,1,16,14,16,2009-10,1.0,1.5,1,114.22918615368697,2158.0,1959.0,11.182493960703473,2.981546217004304,2.981546217004304,2.874596978199212
6,7,20,RL,75.0,10084,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5,3,3,6,1369.0,1,0.0,317.0,1686.0,GasA,5,1,SBrkr,1694,0,0,1694,3,1,4,7,7,1,4,Attchd,2,2.0,636.0,3,3,2,255,57,0,0,0,0,0,No_fence,No_miscFeature,0,8,2007,WD,Normal,1,3,2,3,2007-8,1.0,2.0,1,145.34392536666724,3380.0,2958.5,53.598150033144236,1.904832441554448,1.904832441554448,1.743668380628679
7,8,60,RL,83.34245304121012,10382,Pave,No_alley,1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,2,5,859.0,4,32.0,216.0,1107.0,GasA,5,1,SBrkr,1107,983,0,2090,3,1,3,7,7,2,3,Attchd,2,2.0,484.0,3,3,2,235,204,228,0,0,0,0,No_fence,Shed,350,11,2009,WD,Normal,1,36,36,36,2009-11,1.0,2.5,1,113.50119204855235,3197.0,2920.25,32.11545195869231,3.6818115811532164,3.6818115811532164,3.6818115811532164
8,9,50,RM,51.0,6120,Pave,No_alley,0,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,952.0,952.0,GasA,4,1,FuseF,1022,752,0,1774,2,2,3,8,6,2,3,Detchd,1,2.0,468.0,2,3,2,90,0,205,0,0,0,0,No_fence,No_miscFeature,0,4,2008,WD,Abnorml,1,77,77,77,2008-4,0.0,2.0,1,72.02595648836912,2726.0,2488.0,32.11545195869231,4.390965090244717,4.390965090244717,4.390965090244717
9,10,190,RL,50.0,7420,Pave,No_alley,0,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,6,851.0,1,0.0,140.0,991.0,GasA,5,1,SBrkr,1077,0,0,1077,2,2,3,5,7,2,3,Attchd,2,1.0,205.0,4,3,2,0,4,0,0,0,0,0,No_fence,No_miscFeature,0,1,2008,WD,Normal,1,69,69,69,2008-1,1.0,1.0,1,102.07203896503519,2068.0,1820.25,11.182493960703473,4.286592822368686,4.286592822368686,4.286592822368686
