,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,train,ExterQual_Num,ExterCond_Num,BsmtCond_Num,BsmtQual_Num,HeatingQC_Num,KitchenQual_Num,FireplaceQu_Num,GarageQual_Num,GarageCond_Num,PoolQC_Num,BsmtExposure_Num,BsmtFinType1_Num,BsmtFinType2_Num,Functional_Num,GarageFinish_Num,PavedDrive_Num,LotShape_Num,YearsOld,YearSinceRemodel,YearSinceGarageBlt,YrSold-Month,BsmtBath,Bath,Basement,BsmtScore,TotalSF,SF_score,add_TotalBaths,add_TotRmsAbvGrdWBath,add_SFPerRm,add_GarageSpacious,add_PorchSF,add_OutdoorSF,add_YardSF,add_NormalSale_bi,add_Cond1_2_NearRlrd_bi,add_Cond1_2_NearPosFtr_bi,add_Cond1_2_NearBusyRd_bi,add_HasPool_bi,add_HasDeck_bi,add_HasPorch_bi,add_MasVnrStoneBrick_bi,add_HasFinishedBasement_bi,HasSecondFloor,OverallQual_exp,YearsOld_log,YearSinceGarageBlt_log,YearSinceRemodel_log,SF_score_log,TotalSF_log,1stFlrSF_log,2ndFlrSF_log,LowQualFinSF_log,TotalBsmtSF_log,GrLivArea_log,outlier,Basement_FireplaceQu,Basement_Basement,Neighborhood_FireplaceQu,Neighborhood_Basement,OverallQual_FireplaceQu,OverallQual_Basement,OverallQual_Neighborhood,OverallQual_OverallQual,TotalBsmtSF_log_TotalBsmtSF_log,LotArea_TotalBsmtSF_log,LotArea_LotArea,Basement_TotalBsmtSF_log,Basement_LotArea,OverallQual_TotalBsmtSF_log,OverallQual_LotArea,TotalSF_log_TotalBsmtSF_log,TotalSF_log_LotArea,TotalSF_log_Basement,TotalSF_log_OverallQual,TotalSF_log_TotalSF_log,SF_score_TotalBsmtSF_log,SF_score_LotArea,SF_score_Basement,SF_score_OverallQual,SF_score_TotalSF_log,SF_score_SF_score,YearSinceRemodel_log_TotalBsmtSF_log,YearSinceRemodel_log_LotArea,YearSinceRemodel_log_Basement,YearSinceRemodel_log_OverallQual,YearSinceRemodel_log_TotalSF_log,YearSinceRemodel_log_SF_score,YearSinceRemodel_log_YearSinceRemodel_log
0,1,s60,RL,65.0,8450,Pave,No_alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706.0,Unf,0.0,150.0,856.0,GasA,Ex,1,SBrkr,856,854,0,1710,3,1,Gd,8,Typ,0,No_fireplace,Attchd,RFn,2.0,548.0,TA,TA,Y,0,61,0,0,0,0,No_pool,No_fence,No_miscFeature,0,m2,y2008,WD,Normal,1,4,3,3,4,5,4,0,3,3,0,1,6,1,7,2,2,0,5,5,5,2008-2,1.0,2.5,1,112.26801586640934,2566.0,2352.0,3.5,11.5,148.69565217391303,0,61,7594,7533,1,0,0,0,1,0,1,1,1,1,32.11545195869231,2.1654221804855953,2.1654221804855953,2.1654221804855953,7.764600962846147,7.851551553915197,6.756604756312511,6.75427570271437,1.3132616875182228,6.756604756312511,7.44642072265475,0,1_No_fireplace,0.0001,CollgCr_No_fireplace,CollgCr_1,7_No_fireplace,0.0007000000000000001,7_CollgCr,0.004900000000000001,0.004565170783302484,5.709331019084072,7140.25,0.0006756604756312511,0.845,0.0047296233294187575,5.915000000000001,0.00530498305736163,6.634561063058341,0.0007851551553915197,0.005496086087740638,0.006164686180378814,1.5891534386847024,1987.44,0.2352,1.6464,1.8466849254808542,553.1904,0.0014630901804093582,1.8297817425103282,0.00021654221804855956,0.0015157955263399169,0.0017001923886074111,0.509307296850212,0.000468905321973899
1,2,s20,RL,80.0,9600,Pave,No_alley,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978.0,Unf,0.0,284.0,1262.0,GasA,Ex,1,SBrkr,1262,0,0,1262,3,1,TA,6,Typ,1,TA,Attchd,RFn,2.0,460.0,TA,TA,Y,298,0,0,0,0,0,No_pool,No_fence,No_miscFeature,0,m5,y2007,WD,Normal,1,3,3,3,4,5,3,3,3,3,0,4,5,1,7,2,2,0,31,31,31,2007-5,0.5,2.0,1,122.11415985762568,2524.0,2208.5,2.5,8.5,148.47058823529412,0,0,8338,8040,1,0,0,2,1,1,0,0,1,0,19.085536923187668,3.547266402060136,3.547266402060136,3.547266402060136,7.701751038527877,7.83507230990681,7.143395051739644,1.3132616875182228,1.3132616875182228,7.143395051739644,7.143395051739644,0,1_TA,0.0001,Veenker_TA,Veenker_1,6_TA,0.0006,6_Veenker,0.0036,0.005102809286521843,6.857659249670059,9216.0,0.0007143395051739644,0.96,0.004286037031043786,5.76,0.005596901676861061,7.521669417510537,0.000783507230990681,0.004701043385944086,0.006138835810146843,1.5776187971767004,2120.16,0.22085000000000002,1.3251,1.730375719642919,487.747225,0.0025339525263678667,3.4053757459777305,0.0003547266402060136,0.0021283598412360815,0.002779308876264413,0.7834137848949811,0.0012583098927184664
2,3,s60,RL,68.0,11250,Pave,No_alley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486.0,Unf,0.0,434.0,920.0,GasA,Ex,1,SBrkr,920,866,0,1786,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2.0,608.0,TA,TA,Y,0,42,0,0,0,0,No_pool,No_fence,No_miscFeature,0,m9,y2008,WD,Normal,1,4,3,3,4,5,4,3,3,3,0,2,6,1,7,2,2,1,7,6,7,2008-9,1.0,2.5,1,106.75909774099333,2706.0,2476.0,3.5,9.5,188.0,0,42,10330,10288,1,0,0,0,1,0,1,1,1,1,32.11545195869231,2.3719508656009087,2.3719508656009087,2.2740088362278477,7.815900236669598,7.904599953425198,6.828407135357301,6.768169345219282,1.3132616875182228,6.828407135357301,7.489813501995193,0,1_TA,0.0001,CollgCr_TA,CollgCr_1,7_TA,0.0007000000000000001,7_CollgCr,0.004900000000000001,0.00466271440061985,7.681958027276963,12656.25,0.0006828407135357301,1.125,0.004779884994750111,7.875000000000001,0.005397582672411361,8.892674947603348,0.0007904599953425199,0.005533219967397639,0.0062482700423689645,1.6907136067144677,2785.5,0.24760000000000001,1.7332000000000003,1.9571789484680793,613.0576000000001,0.0015527858163163785,2.5582599407563285,0.00022740088362278478,0.0015918061853594935,0.0017975130140935134,0.5630445878500151,0.000517111618724233
3,4,s70,RL,60.0,9550,Pave,No_alley,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216.0,Unf,0.0,540.0,756.0,GasA,Gd,1,SBrkr,961,756,0,1717,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,3.0,642.0,TA,TA,Y,0,35,272,0,0,0,No_pool,No_fence,No_miscFeature,0,m2,y2006,WD,Abnorml,1,3,3,4,3,4,4,4,3,3,0,1,5,1,7,1,2,1,91,36,8,2006-2,1.0,1.0,1,83.81409256131631,2473.0,2284.0,2.0,9.0,190.77777777777777,0,307,8589,8282,0,0,0,0,1,0,1,0,1,1,32.11545195869231,4.5509070314912226,2.4611501717344746,3.6818115811532164,7.735310216347266,7.8146896894033,6.8718361227883396,6.632947682756235,1.3132616875182228,6.632947682756235,7.450497088348722,0,1_Gd,0.0001,Crawfor_Gd,Crawfor_1,7_Gd,0.0007000000000000001,7_Crawfor,0.004900000000000001,0.0043995994962181305,6.334465037032205,9120.25,0.0006632947682756235,0.9550000000000001,0.004643063377929365,6.6850000000000005,0.0051834427866786666,7.463028653380152,0.0007814689689403301,0.005470282782582311,0.006106937494166626,1.514965250741524,2181.22,0.2284,1.5988000000000002,1.784875125059714,521.6656,0.0024421263595555296,3.5161300600013217,0.00036818115811532165,0.002577268106807252,0.0028772215001563704,0.8409257651353946,0.001355573651911395
4,5,s60,RL,84.0,14260,Pave,No_alley,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655.0,Unf,0.0,490.0,1145.0,GasA,Ex,1,SBrkr,1145,1053,0,2198,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3.0,836.0,TA,TA,Y,192,84,0,0,0,0,No_pool,No_fence,No_miscFeature,0,m12,y2008,WD,Normal,1,4,3,3,4,5,4,3,3,3,0,3,6,1,7,2,2,1,8,8,8,2008-12,1.0,2.5,1,115.24222379755287,3343.0,3056.75,3.5,12.5,175.84,0,84,13115,12839,1,0,0,0,1,1,1,1,1,1,53.598150033144236,2.4611501717344746,2.4611501717344746,2.4611501717344746,8.026323216515303,8.115735527315788,7.046402062257984,6.962923424166504,1.3132616875182228,7.046402062257984,7.6969933716903345,0,1_TA,0.0001,NoRidge_TA,NoRidge_1,8_TA,0.0008,8_NoRidge,0.0064,0.004965178202299357,10.048169340779884,20334.76,0.0007046402062257983,1.426,0.005637121649806387,11.408,0.005718673555641836,11.573038861952314,0.0008115735527315788,0.006492588421852631,0.006586516314933568,2.153908950380709,4358.925499999999,0.305675,2.4454,2.4807774573122536,934.3720562499999,0.0017342253645636393,3.5096001448933607,0.0002461150171734475,0.00196892013738758,0.001997404388680483,0.7523120787449356,0.0006057260167828634
5,6,s50,RL,85.0,14115,Pave,No_alley,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732.0,Unf,0.0,64.0,796.0,GasA,Ex,1,SBrkr,796,566,0,1362,1,1,TA,5,Typ,0,No_fireplace,Attchd,Unf,2.0,480.0,TA,TA,Y,40,30,0,320,0,0,No_pool,MnPrv,Shed,700,m10,y2009,WD,Normal,1,3,3,3,4,5,3,0,3,3,0,1,6,1,7,1,2,1,16,14,16,2009-10,1.0,1.5,1,114.22918615368697,2158.0,1959.0,2.5,7.5,181.6,0,350,13319,12929,1,0,0,0,1,1,1,0,1,1,11.182493960703473,2.981546217004304,2.981546217004304,2.874596978199212,7.582085669880771,7.678658685281625,6.684259517934934,6.3451419962443465,1.3132616875182228,6.684259517934934,7.2194357830108755,0,1_No_fireplace,0.0001,Mitchel_No_fireplace,Mitchel_1,5_No_fireplace,0.0005,5_Mitchel,0.0025000000000000005,0.004467932530310376,9.434832309565161,19923.322500000002,0.0006684259517934935,1.4115,0.0033421297589674675,7.057500000000001,0.0051326147402067455,10.838426734275014,0.0007678658685281625,0.0038393293426408127,0.005896179920505094,1.3094464395634537,2765.1285000000003,0.1959,0.9795,1.5042492364466704,383.7681,0.0019214552211755081,4.057493634728187,0.00028745969781992115,0.001437298489099606,0.0022073049053333692,0.5631335480292256,0.0008263307787072039
6,7,s20,RL,75.0,10084,Pave,No_alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369.0,Unf,0.0,317.0,1686.0,GasA,Ex,1,SBrkr,1694,0,0,1694,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2.0,636.0,TA,TA,Y,255,57,0,0,0,0,No_pool,No_fence,No_miscFeature,0,m8,y2007,WD,Normal,1,4,3,3,5,5,4,4,3,3,0,3,6,1,7,2,2,0,3,2,3,2007-8,1.0,2.0,1,145.34392536666724,3380.0,2958.5,3.0,10.0,169.4,0,57,8390,8078,1,0,0,0,1,1,1,1,1,0,53.598150033144236,1.904832441554448,1.904832441554448,1.743668380628679,7.993693686180147,8.126730467209944,7.437040441344611,1.3132616875182228,1.3132616875182228,7.432317096878682,7.437040441344611,0,1_Gd,0.0001,Somerst_Gd,Somerst_1,8_Gd,0.0008,8_Somerst,0.0064,0.005523933742855517,7.4947485604924635,10168.705600000001,0.0007432317096878683,1.0084,0.005945853677502946,8.0672,0.006040043779316935,8.194995003134508,0.0008126730467209945,0.006501384373767956,0.006604374808667836,2.1988510131115584,2983.3514,0.29585,2.3668,2.404293208724062,875.272225,0.0012959496316633295,1.75831519502596,0.0001743668380628679,0.0013949347045029432,0.0014170322953565712,0.5158642904089946,0.00030403794216042395
7,8,s60,RL,84.1125594512049,10382,Pave,No_alley,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,GasA,Ex,1,SBrkr,1107,983,0,2090,3,1,TA,7,Typ,2,TA,Attchd,RFn,2.0,484.0,TA,TA,Y,235,204,228,0,0,0,No_pool,No_fence,Shed,350,m11,y2009,WD,Normal,1,3,3,3,4,5,3,3,3,3,0,2,5,4,7,2,2,1,36,36,36,2009-11,1.0,2.5,1,113.50119204855235,3197.0,2920.25,3.5,10.5,199.04761904761904,0,432,9275,8608,1,0,1,0,1,1,1,1,1,1,32.11545195869231,3.6818115811532164,3.6818115811532164,3.6818115811532164,7.980696973282948,8.071130526671146,7.0127621857733295,6.894384569945715,1.3132616875182228,7.0127621857733295,7.646696846481177,0,1_TA,0.0001,NWAmes_TA,NWAmes_1,7_TA,0.0007000000000000001,7_NWAmes,0.004900000000000001,0.004917883347421234,7.280649701269871,10778.592399999998,0.000701276218577333,1.0382,0.004908933530041332,7.2674,0.005660091895388019,8.379447712789982,0.0008071130526671145,0.0056497913686698025,0.006514314797856285,2.0479018773004567,3031.80355,0.29202500000000003,2.044175,2.3569718920511415,852.78600625,0.002581966903145359,3.8224567835532692,0.00036818115811532165,0.002577268106807252,0.0029716381846097086,1.075181026986268,0.001355573651911395
8,9,s50,RM,51.0,6120,Pave,No_alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,952.0,952.0,GasA,Gd,1,FuseF,1022,752,0,1774,2,2,TA,8,Min1,2,TA,Detchd,Unf,2.0,468.0,Fa,TA,Y,90,0,205,0,0,0,No_pool,No_fence,No_miscFeature,0,m4,y2008,WD,Abnorml,1,3,3,3,3,4,3,3,2,3,0,1,1,1,6,1,2,0,77,77,77,2008-4,0.0,2.0,1,72.02595648836912,2726.0,2488.0,2.0,10.0,177.4,0,205,5098,4803,0,0,0,2,1,1,1,0,0,1,32.11545195869231,4.390965090244717,4.390965090244717,4.390965090244717,7.820727824491323,7.911953689384764,6.933148408912405,6.627668663646796,1.3132616875182228,6.862463185343603,7.483085956854192,0,1_TA,0.0001,OldTown_TA,OldTown_1,7_TA,0.0007000000000000001,7_OldTown,0.004900000000000001,0.004709340097019626,4.199827469430285,3745.4400000000005,0.0006862463185343602,0.612,0.004803724229740522,4.284000000000001,0.0054295490917546435,4.842115657903475,0.0007911953689384764,0.005538367582569335,0.006259901118296917,1.707380840513488,1522.656,0.2488,1.7416,1.9684940779189293,619.0143999999999,0.0030132836279933317,2.687270635229767,0.0004390965090244717,0.003073675563171302,0.003474111244572139,1.0924721144528855,0.0019280574423747793
9,10,s190,RL,50.0,7420,Pave,No_alley,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851.0,Unf,0.0,140.0,991.0,GasA,Ex,1,SBrkr,1077,0,0,1077,2,2,TA,5,Typ,2,TA,Attchd,RFn,1.0,205.0,Gd,TA,Y,0,4,0,0,0,0,No_pool,No_fence,No_miscFeature,0,m1,y2008,WD,Normal,1,3,3,3,3,5,3,3,4,3,0,1,6,1,7,2,2,0,69,69,69,2008-1,1.0,1.0,1,102.07203896503519,2068.0,1820.25,2.0,7.0,153.85714285714286,0,4,6343,6339,1,0,0,2,1,0,1,0,1,0,11.182493960703473,4.286592822368686,4.286592822368686,4.286592822368686,7.508769781134648,7.636133629766877,6.98538117482048,1.3132616875182228,1.3132616875182228,6.902459563227895,6.98538117482048,0,1_TA,0.0001,BrkSide_TA,BrkSide_1,5_TA,0.0005,5_BrkSide,0.0025000000000000005,0.004764394802199622,5.121624995915098,5505.64,0.0006902459563227894,0.742,0.0034512297816139473,3.7100000000000004,0.0052708103598870515,5.666011153287022,0.0007636133629766877,0.0038180668148834387,0.005831053681165666,1.2564202019965576,1350.6255,0.18202500000000002,0.9101250000000001,1.3899672239583158,331.33100625000003,0.002958803362042279,3.180651874197565,0.0004286592822368686,0.002143296411184343,0.003273299560800683,0.7802670584916601,0.0018374878024782736
